Timestamp,What main industry have you worked in?,How many years professional experience do you have?,How many years programming experience do you have?,What key experiences do you have?,Data management,Statistics,Visualisation,Machine Learning & Data Mining,Software Engineering,Communication,How would you define Data Science in one sentence?,What key skills do you want to develop?,What kind of role would you like to go into?,What industry would you like to go into?,,Customer Relationship Management,26,,(Applied) Statistician,9
8/8/2023 18:34:31,Information Technology,6.5,6.5,"Relational databases, Visualisation, Programming",5,5,5,5,5,5,Explore data sets and derive meaningful insights,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Quantitative Analyst, Consultant, Software Engineer, Research",Information Technology,,,,,,
8/8/2023 18:35:00,Information Technology,6 MONTHS,6 months,"Statistical Analysis, Visualisation, Machine learning, Natural Language Processing, Programming",3,3,3,3,3,3,Study of data.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming","Data Engineer, Data Scientist, Data Architect, Analyst",Information Technology,,,,,,
8/8/2023 18:35:06,Information Technology,3 months,1,"Relational databases, NoSQL, Machine learning, Software Engineering",2,2,2,3,3,3,turning raw info into structured data.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering","Data Engineer, Data Scientist, Data Architect",Information Technology,,,,,,
8/8/2023 18:35:09,Information Technology,1 year,4 years,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Product-driven thinking",3,4,5,5,2,3,Data Science is about creating insights that can make impacts to the company/products.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Quantitative Analyst",Information Technology,,,,,,
8/8/2023 18:35:29,Information Technology,1,4,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Software Engineering, Product-driven thinking",5,4,3,4,2,3,Making decision based on information,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, Quantitative Analyst, Research",Information Technology,,,,,,
8/8/2023 18:35:37,Information Technology,4,4,"Relational databases, NoSQL, Information Retrieval, Visualisation, Data mining, Programming, Product-driven thinking",5,5,5,5,5,5,Data science can provide beautiful insights,"Statistical Analysis, Machine learning, Data mining, Natural Language Processing, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering","Data Engineer, Data Scientist, Analyst",Information Technology,,,,,,
8/8/2023 18:35:47,Information Technology,0,1,"NoSQL, Visualisation, Management, Ethics, Software Engineering",5,5,5,5,3,5,High Salary Job,"NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking",Data Scientist,Financial and Insurance Services,,,,,,
8/8/2023 18:36:51,Education and Training,0,4,"Visualisation, Programming, Ethics",5,5,5,5,4,5,Visualize the data and implement a good and strategic decision.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, Quantitative Analyst",Information Technology,,,,,,
8/8/2023 18:36:54,Information Technology,6 months,6 months,"Statistical Analysis, Visualisation, Machine learning, Natural Language Processing, Programming",3,3,3,3,3,4,"knowing to play with data and to manage, know, gather meaningful information from data is DataScience.","Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Scientist, Analyst, Consultant",Information Technology,,,,,,
8/8/2023 18:37:45,Health (Dental),15,0,Management,5,5,5,4,4,5,"Data extraction, analysis and application","Statistical Analysis, Visualisation, Customer Relationship Management, Management, Product-driven thinking","Analyst, Consultant",health,,,,,,
8/8/2023 18:37:52,Information Technology,2,4,"Machine learning, Data mining, Programming, Software Engineering",5,5,4,5,4,5,The art of drawing insight from data,"Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Software engineering, Product-driven thinking","Data Scientist, (Applied) Statistician, Quantitative Analyst, Software Engineer",Information Technology,,,,,,
8/8/2023 18:38:10,Information Technology,1.5,1,"Programming, Management",4,5,4,5,3,4,The more information you have the more equipped one can be and data science enables us to do so,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Management, Requirements gathering","Analyst, Consultant, Product Management",Information Technology,,,,,,
8/8/2023 18:38:14,Information Technology,3,3,"Relational databases, Visualisation, Machine learning, Data mining",5,5,5,5,4,5,to get meaningful insights ,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Product-driven thinking","Data Scientist, Analyst",Financial and Insurance Services,,,,,,
8/8/2023 18:38:16,Information Technology,1 year,7,"Relational databases, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Software Engineering",5,4,4,5,2,4,Extracting and making sense out of unexplored data. ,"Relational databases, NoSQL, Machine learning, Data mining, Product-driven thinking","Data Scientist, Analyst",Information Technology,,,,,,
8/8/2023 18:39:35,Information Technology,8,1,"Relational databases, Statistical Analysis, Management, Requirements gathering",5,5,5,4,3,5,Data science is the exploration of data to reach new understandings.,"Relational databases, Management, Requirements gathering, Ethics, Product-driven thinking","Data Architect, Product Management, Research",Information Technology,,,,,,
8/8/2023 18:39:46,Financial and Insurance Services,3,2,"Relational databases, NoSQL, Machine learning",5,5,4,5,2,3,Learning how to predict variables,"Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming",Data Scientist,Information Technology,,,,,,
8/8/2023 18:40:04,Financial and Insurance Services,15,5,"Relational databases, Visualisation, Requirements gathering, Product-driven thinking",5,5,5,5,4,5,Data Science is utilise data and using different tools to support business decision making. ,"Statistical Analysis, Machine learning, Data mining, Programming, Software engineering","Data Engineer, Data Scientist, Data Architect, Product Management, UX/Design",Financial and Insurance Services,,,,,,
8/8/2023 18:40:15,Information Technology,17months,4-5yrs,"Relational databases, NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Requirements gathering, Software Engineering",5,4,4,5,3,3,It is a process of gathering and storing data in an orderly manner to gain powerful insights from it.,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Customer Relationship Management, Management, Requirements gathering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, Research",Information Technology,,,,,,
8/8/2023 18:40:15,Information Technology,1,5,"Relational databases, NoSQL, Machine learning, Programming, Software Engineering",4,5,5,4,3,5,Understanding data,"Visualisation, Machine learning, Data mining, Natural Language Processing, Customer Relationship Management, Management, Requirements gathering, Ethics","Data Engineer, Research",Scientific Research,,,,,,
8/8/2023 18:40:20,Manufacturing,0.5,1,"Machine learning, Management",4,4,4,3,3,3,"Gathering, analyzing and visualisation of data ","Information Retrieval, Visualisation, Machine learning, Programming",Product Management,Manufacturing,,,,,,
8/8/2023 18:40:20,Information Technology,1,1,Programming,5,5,4,4,3,3,derive meaningful insights from data,"Statistical Analysis, Visualisation, Data mining, Programming",Data Scientist,Information Technology,,,,,,
8/8/2023 18:40:27,Information Technology,0,6 months,Programming,1,3,3,4,2,3,knowledge of mathematics and statistics ,"Statistical Analysis, Machine learning, Data mining","Data Engineer, Data Scientist",Information Technology,,,,,,
8/8/2023 18:40:42,Renewable Energy,1,4,Machine learning,4,3,4,4,1,3,An art of story-telling with data,"Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Programming",Data Scientist,Financial and Insurance Services,,,,,,
8/8/2023 18:41:58,Information Technology,1,2,,3,3,3,2,3,4,semi pro,"Relational databases, Information Retrieval, Visualisation, Programming",Analyst,Financial and Insurance Services,,,,,,
8/8/2023 18:42:37,Information Technology,2,2,"Relational databases, NoSQL, Programming, Software Engineering",5,5,4,5,5,5,The science of gathering valuable information from a raw data.,"Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering","Data Engineer, Data Scientist, Data Architect, Analyst, (Applied) Statistician, Consultant, Software Engineer, Research",Scientific Research,,,,,,
8/8/2023 18:42:52,Financial and Insurance Services,2,2,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Programming, Product-driven thinking",5,5,5,5,5,5,Transformation of the way we see the world,"Relational databases, NoSQL, Statistical Analysis, Machine learning, Data mining, Natural Language Processing, Customer Relationship Management, Management, Requirements gathering, Ethics","Analyst, (Applied) Statistician",Financial and Insurance Services,,,,,,
8/8/2023 18:44:37,Administration ,1,0.5,"Statistical Analysis, Visualisation, Customer Relationship Management, Management, Ethics, Product-driven thinking",5,5,5,5,5,5,Analysing data to find solutions ,"Relational databases, Information Retrieval, Machine learning, Data mining, Natural Language Processing, Programming","Data Engineer, Data Scientist, Analyst",Health,,,,,,
8/8/2023 18:46:19,tourism and hospitality management ,2,0,"Customer Relationship Management, Management, Ethics",5,5,5,4,5,4,build system to derive data,"Statistical Analysis, Visualisation, Machine learning, Data mining, Programming, Ethics","Data Scientist, Analyst, (Applied) Statistician, Consultant, Product Management",Scientific Research,,,,,,
8/8/2023 18:46:20,i have not worked ,0,0,"Statistical Analysis, Customer Relationship Management, Management, Ethics, Product-driven thinking",5,5,5,5,2,3,"tatistics, scientific computing, scientific methods, processes, algorithms.","Relational databases, Statistical Analysis, Visualisation, Data mining, Natural Language Processing, Customer Relationship Management, Management, Requirements gathering, Software engineering, Product-driven thinking","Data Scientist, Analyst, Quantitative Analyst, Research",Scientific Research,,,,,,
8/8/2023 18:47:51,Information Technology,4,2,"Relational databases, Statistical Analysis, Visualisation, Machine learning, Programming, Management, Requirements gathering, Ethics, Product-driven thinking",5,4,3,5,4,5,"Extract knowledge from data through the combined use of maths, stats, machine learning, etc","Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Software engineering","Analyst, Product Management",Information Technology,,,,,,
8/8/2023 18:48:25,Information Technology,2,0,NoSQL,4,5,5,5,4,3,"The process of mining, processing, and understanding data in order to generate valuable insights that lead to informed decision making","Relational databases, Statistical Analysis, Machine learning, Data mining, Natural Language Processing, Programming, Management, Software engineering","Data Scientist, Analyst, Consultant",Financial and Insurance Services,,,,,,
8/8/2023 18:50:02,Information Technology,1,1,Programming,3,3,4,2,4,4,"Data science is a concept of unifying satistics, probablity and data analytics to know the success rate of the company ","Statistical Analysis, Machine learning, Data mining, Programming","Data Engineer, Data Scientist, Data Architect, Analyst, Software Engineer",Information Technology,,,,,,
8/8/2023 18:51:58,Information Technology,2 years experience in Business analysis,I just start to study about programming ,"Statistical Analysis, Customer Relationship Management, Management, Requirements gathering, Ethics",4,4,4,4,4,5,Data Science is a subject which can help me more active in job as dealing with data by myself,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Software engineering, Product-driven thinking","Analyst, Product Management, UX/Design",Financial and Insurance Services,,,,,,
8/8/2023 18:53:06,Information Technology,4.5,4.5,"Relational databases, NoSQL, Machine learning, Programming, Software Engineering",5,5,5,5,5,4,"Data science is the field of study that combines domain expertise, programming skills, and knowledge of mathematics and statistics to extract meaningful insights from data","Relational databases, NoSQL, Programming, Software engineering","Data Engineer, Data Scientist, Software Engineer",Information Technology,,,,,,
8/8/2023 19:39:52,Education and Training,10,0,Management,4,5,4,3,4,3,help to solve real world problem,"Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Product-driven thinking","Analyst, Product Management",Education and Training,,,,,,
8/8/2023 20:10:06,Financial and Insurance Services,6 months,0,Customer Relationship Management,5,4,5,5,1,3,"Data Science is the study of a massive amount data, breaking it down to a meaningful data which will help the growth of the business.","Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Data mining, Natural Language Processing, Programming, Requirements gathering, Ethics",Analyst,Financial and Insurance Services,,,,,,
8/8/2023 22:36:13,Information Technology,2,2,Software Engineering,5,4,4,5,2,5,It is the practice of extracting data from history and analyzing it to predict the future outcomes.,"Relational databases, Visualisation, Machine learning, Data mining, Natural Language Processing, Requirements gathering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, Actuary, Consultant",Information Technology,,,,,,
8/9/2023 1:30:34,Media and Communications,3,0,"Management, Requirements gathering, Ethics",5,5,4,5,3,3,The way we make decisions.,"Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming","Data Scientist, Data Architect, Analyst, Consultant, Research",Media and Communications,,,,,,
8/9/2023 18:02:26,Information Technology,6 months,1 year,Software Engineering,5,5,4,5,3,4,"Data Science is the interdisciplinary field that employs scientific methods, algorithms, processes, structured and unstructured data.","Relational databases, NoSQL, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming","Data Engineer, Data Scientist, Analyst",Information Technology,,,,,,
8/9/2023 19:25:36,Information and Compute Science,4,2,Statistical Analysis,5,4,4,3,2,5,Disciplines that use scientific methods to extract value from data.,"Statistical Analysis, Data mining, Programming",Data Scientist,Financial and Insurance Services,,,,,,
8/10/2023 10:39:01,Financial and Insurance Services,10,0.5,Programming,4,5,4,5,4,4,A professional that utilizes data in extracting insight to be used for business requirements,"Statistical Analysis, Machine learning, Data mining, Natural Language Processing","Data Scientist, Analyst, Consultant",Financial and Insurance Services,,,,,,
8/10/2023 12:20:08,Media and Communications,1,3,"Statistical Analysis, Machine learning, Product-driven thinking",5,5,5,5,5,5, Important in business ,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Analyst, Quantitative Analyst, Product Management, UX/Design",Information Technology,,,,,,
8/11/2023 23:32:27,Information Technology,0,1,"Information Retrieval, Statistical Analysis, Visualisation, Data mining",4,2,2,5,5,3,Interpret what the data says,"Relational databases, Data mining, Programming, Software engineering","(Applied) Statistician, Quantitative Analyst",Information Technology,,,,,,
8/11/2023 23:52:10,Information Technology,1,1,"Information Retrieval, Statistical Analysis, Visualisation, Data mining",4,3,3,4,5,3,Analyze what's hiding in your data,"Relational databases, Machine learning, Data mining, Programming","Analyst, Quantitative Analyst",Financial and Insurance Services,,,,,,
8/12/2023 10:41:48,Manufacturing,5,1,"Programming, Management, Product-driven thinking",4,5,4,3,1,5,Taking ideas from the past into action for the present and the future.,"Statistical Analysis, Machine learning, Natural Language Processing, Programming","Data Scientist, Research, Machine learning Engineer",Scientific Research,,,,,,
8/12/2023 17:25:48,Utilities,9,1,"Management, Requirements gathering, Product-driven thinking",4,5,3,5,3,5,It is the guideline for people to predict the future,"Statistical Analysis, Machine learning, Data mining","Data Scientist, Analyst",Utilities,,,,,,
8/12/2023 22:46:55,Information Technology,4,4,"Relational databases, Programming, Customer Relationship Management, Software Engineering, Product-driven thinking",5,5,5,5,4,4,Improve decision making to solve real world problems,"Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Requirements gathering","Data Engineer, Data Scientist, Quantitative Analyst, Product Management, Research",Scientific Research,,,,,,
8/13/2023 3:19:24,Retail,n/a,n/a,Customer Relationship Management,5,5,4,5,5,5,simplifying and giving meaning to human ideas,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking","Data Engineer, Data Scientist, Data Architect, Analyst, (Applied) Statistician, Quantitative Analyst, Actuary, Consultant, Software Engineer, UX/Design",Information Technology,,,,,,
8/13/2023 13:20:44,Education and Training,4 months,1,"Relational databases, NoSQL, Programming",4,5,5,4,3,5,"To extract useful insights and knowledge from data, data scientists use scientific methods, algorithms, procedures, and systems. This allows for informed decision-making and predictive modelling.","Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Ethics","Data Engineer, Data Scientist",Information Technology,,,,,,
8/15/2023 7:42:52,Information Technology,2.5,0,,5,3,5,5,2,5,A person who can give answer to the problem statement with the help of data.,"Statistical Analysis, Visualisation, Programming","Analyst, Research, Business Analyst",Information Technology,,,,,,
8/15/2023 7:59:08,Information Technology,2,2,"Relational databases, NoSQL, Statistical Analysis, Visualisation, Programming",5,4,4,5,4,5,The hability to extract information and insights from data,"Statistical Analysis, Machine learning, Data mining","Data Scientist, Analyst",Information Technology,,,,,,
8/15/2023 15:50:55,Information Technology,3,5,"Relational databases, NoSQL, Visualisation",4,5,5,5,4,5,Getting insight of data ,"Relational databases, NoSQL, Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Option 9, Programming, Customer Relationship Management, Management, Requirements gathering, Ethics, Software engineering, Product-driven thinking",Data Scientist,Information Technology,,,,,,
8/15/2023 18:37:31,Information Technology,2.5,1,"Relational databases, NoSQL, Statistical Analysis, Customer Relationship Management",5,5,4,4,4,5,everything in life,"Relational databases, Information Retrieval, Statistical Analysis, Visualisation, Data mining, Programming, Management, Product-driven thinking","Data Engineer, Data Scientist, Analyst, Quantitative Analyst",Information Technology,,,,,,
8/15/2023 18:37:44,Media and Communications,3,0,"Statistical Analysis, Management, Requirements gathering, Ethics, Product-driven thinking",5,5,5,5,3,5,The data driven solutions to the problems that world is facing.,"Information Retrieval, Statistical Analysis, Visualisation, Machine learning, Data mining, Natural Language Processing, Programming, Customer Relationship Management","Data Scientist, Data Architect, Analyst, Consultant, Product Management, Research",Media and Communications,,,,,,
8/15/2023 18:40:34,Analytics,1,1,"Relational databases, Visualisation, Data mining, Programming, Ethics",4,5,4,4,1,5,study of data to identify trends and patterns to influence business decisions.,"Visualisation, Machine learning, Programming","Data Engineer, Data Scientist, Analyst",Retail,,,,,,